length,name,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,coupon,ISIN,issue_date,maturity_date,selected
0-3,CANADACD-BONDS 2023(26),99.935,99.925,99.925,99.91,99.905,99.895,99.88,99.88,99.87,99.85,0.045,CA135087R226,11/1/2023,2026-02-01,0
0-3,CANADACD-BONDS 2020(26),99.68,99.68,99.69,99.69,99.715,99.72,99.725,99.73,99.735,99.75,0.0025,CA135087L518,10/9/2020,2026-03-01,1
0-3,CANADACD-BONDS 2023(26),99.955,99.95,99.95,99.95,99.95,9.955,99.94,99.955,99.945,99.945,0.03,CA135087P816,1/20/2023,2026-04-01,0
0-3,CANADACD-BONDS 2024(26),100.5,100.49,100.49,100.48,100.475,100.47,100.46,100.46,100.46,100.445,0.04,CA135087R556,2/12/2024,2026-05-01,0
0-3,CANADACD-BONDS 2015(26),99.665,99.664,99.675,99.678,99.687,99.69,99.687,99.702,99.702,99.708,0.015,CA135087E679,7/21/2015,2026-06-01,0
0-3,CANADACD-BONDS 2024(26),100.88,100.87,100.88,100.87,100.87,100.86,100.85,100.86,100.85,100.84,0.04,CA135087R978,5/6/2024,2026-08-03,0
0-3,CANADACD-BONDS 2021(26),99.13,99.124,99.143,99.148,99.163,99.165,99.168,99.191,99.192,99.202,0.01,CA135087L930,4/16/2021,2026-09-01,1
0-3,CANADACD-BONDS 2024(26),100.69,100.68,100.69,100.69,100.69,100.69,100.68,100.7,100.69,100.69,0.0325,CA135087S398,8/2/2024,2026-11-01,0
0-3,CANADACD-BONDS 2024(27),100.55,100.535,100.56,100.555,100.565,100.56,100.545,100.57,100.575,100.575,0.03,CA135087S547,11/1/2024,2027-02-01,0
0-3,CANADACD-BONDS 2021(27),98.43,98.44,98.47,98.475,98.49,98.49,98.48,98.51,98.52,98.53,0.0125,CA135087M847,10/15/2021,2027-03-01,1
0-3,CANADACD-BONDS 2025(27),100.33,100.31,100.35,100.34,100.37,100.35,100.34,100.38,100.37,100.38,0.0275,CA135087S885,2/20/2025,2027-05-01,0
0-3,CANADACD-BONDS 2016(27),97.755,97.735,97.78,97.785,97.815,97.805,97.805,97.85,97.85,97.86,0.01,CA135087F825,8/3/2016,2027-06-01,0
0-3,CANADACD-BONDS 1996(27),107.2,107.13,107.15,107.145,107.12,107.1,107.07,107.11,107.09,107.05,0.08,CA135087VW17,5/1/1996,2027-06-01,0
0-3,CANADACD-BONDS 2025(27),99.93,99.9,99.95,99.94,99.97,99.96,99.94,100,99.99,99.99,0.025,CA135087T461,5/15/2025,2027-08-01,0
0-3,CANADACD-BONDS 2022(27),101.02,100.955,101,100.995,101.01,100.995,100.98,101.035,101.02,101.02,0.0325,CA135087P733,12/2/2022,2027-08-24,0
0-3,CANADACD-BONDS 2022(27),100.18,100.135,100.185,100.195,100.225,100.205,100.195,100.26,100.24,100.24,0.0275,CA135087N837,5/13/2022,2027-09-01,1
0-3,CANADACD-BONDS 2025(27),99.805,99.82,99.845,99.855,99.86,99.86,99.825,99.885,99.92,99.885,0.025,CA135087T610,8/15/2025,2027-11-01,0
0-3,CANADACD-BONDS 2025(28),99.2,99.17,99.23,99.23,99.27,99.255,99.24,99.305,99.295,99.305,0.0225,CA135087T958,11/14/2025,2028-02-01,0
0-3,CANADACD-BONDS 2022(28),101.765,101.73,101.79,101.79,101.825,101.805,101.785,101.85,101.84,101.835,0.035,CA135087P576,10/21/2022,2028-03-01,1
0-3,CANADACD-BONDS 2017(28),98.49,98.5,98.565,98.56,98.57,98.55,98.53,98.61,98.605,98.61,0.02,CA135087H235,8/1/2017,2028-06-01,0
0-3,CANADACD-BONDS 2023(28),101.275,101.24,101.32,101.31,101.355,101.32,101.3,101.375,101.355,101.37,0.0325,CA135087Q491,4/21/2023,2028-09-01,1
10-Mar,CANADACD-BONDS 2023(29),103.515,103.465,103.565,103.56,103.6,103.575,103.55,103.625,103.615,103.615,0.04,CA135087Q988,10/13/2023,2029-03-01,1
10-Mar,CANADACD-BONDS 1998(29),109.365,109.28,109.405,109.35,109.365,109.32,109.245,109.39,109.37,109.35,0.0575,CA135087WL43,2/2/1998,2029-06-01,0
10-Mar,CANADACD-BONDS 2018(29),98.215,98.15,98.255,98.24,98.29,98.255,98.21,98.33,98.33,98.34,0.0225,CA135087J397,7/27/2018,2029-06-01,0
10-Mar,CANADACD-BONDS 2024(29),102.145,102.065,102.185,102.15,102.19,102.17,102.11,102.245,102.24,102.24,0.035,CA135087R895,4/8/2024,2029-09-01,1
10-Mar,CANADACD-BONDS 2022(29),98.675,97.565,97.71,97.66,97.705,97.69,97.63,97.775,98.83,97.79,0.0225,CA135087N670,3/29/2022,2029-12-01,0
10-Mar,CANADACD-BONDS 2024(30),99.44,99.35,99.51,99.49,99.54,99.51,99.48,99.62,99.62,99.62,0.0275,CA135087S471,10/3/2024,2030-03-01,1
10-Mar,CANADACD-BONDS 2025(30),99.1,99.01,99.19,99.16,99.23,99.2,99.16,99.33,99.32,99.32,0.0275,CA135087T388,4/10/2025,2030-09-01,1
10-Mar,CANADACD-BONDS 2020(30) SERIES L443,88.68,88.595,88.77,88.75,88.83,88.815,88.78,88.96,88.955,89,0.005,CA135087L443,10/5/2020,2030-12-01,0
10-Mar,CANADACD-BONDS 2025(31),98.75,98.655,98.84,98.82,98.885,97.855,98.805,98.99,98.98,98.995,0.0275,CA135087T792,10/2/2025,2031-03-01,1
